act	v.表演：举动：起作用 n.行为，法令：一幕
margin	n.页边空白；边缘：余地：幅度
marine	a.海的，海生的；船舶的，航海的
market	n.集市，市场；销路，需求（量）v.销售
master	n.男主人：师傅；硕士v.精通，控制 a.主要的
matter	n.物质，物体；毛病，麻烦；事情v.有关系，要紧
mature	a.成熟的,熟的:成年人的v.(使)成熟
meadow	n.草地，牧场
medium	n.（pl.media）媒体，方法，媒介，介质 a.中等的
melody	n.旋律，曲调：悦耳的音乐
member	n.成员，会员
memory	n.记忆，记忆力；回忆：存储（器）
menace	vt.／n.有危险性的人（或物）：威胁，威吓
mental	a.精神的，思想的，心理的，智力的，脑力的
merely	adv.仅仅，只不过
method	n.方法，办法
metric	a.米制的，公制的
middle	n.／a.中间（的），当中（的）
mingle	v.（使）混合
minute	n.分钟，片刻：（pl.）会议记录a.微小的
mirror	n.镜子；反映，反射v.反映，反射
misery	n.痛苦，悲惨，不幸
mobile	a.可动的，活动的，运动的
modern	a.现代的，近代的，新式的
modest	a.谦虚的，有节制的
modify	v.更改，修改，修饰
module	n.组件，模块，模件：（航天器的）舱
moment	n.片刻，瞬间，时刻
Monday	n.星期一
monkey	n.猴子
mortal	a.致命的；终有一死的：人世间的n.凡人
mosaic	n.马赛克：镶嵌体
mostly	ad.几乎全部地；主要地，大部分，基本上
mother	n.母亲
motion	n.运动，动：提议，动议v.提议，动议
motive	n.动机，目的a.发动的，运动的
murder	v.／n.谋杀，凶杀
murmur	v.／n.小声说（话）；小声抱怨，咕哝
muscle	n.肌肉，体力
museum	n.博物馆，展览馆
mutter	n.喃喃而语，小声低语；抱怨v.低声说，抱怨
mutton	n.羊肉
mutual	a.相互的，彼此的：共同的，共有的
myself	pron.［反身代词］我自己：我亲自
namely	ad.即，也就是
napkin	n.餐巾，餐巾纸，＜英尿布
narrow	a.狭窄的，狭的，狭隘的
nation	n.民族.国家
native	a.本地的，本国的；天生的n.本地人，本国人
nature	n.自然界，大自然；性质，本性，天性
nearby	a.附近的ad.在附近 prep.在···附近
nearly	ad.差不多，几乎
needle	n.针，指针，针状物
nephew	n.侄子，外甥
nickel	n.镍：镍币：五美分
ninety	num.九十，九十个
nobody	n.谁也不，无人n.小人物
noodle	n.（常用复数）面条
normal	a.正常的，普通的：正规的，标准的
notice	n.通知，通告，布告；注意，认识 v.注意到，注意
notify	v.通知，告知，报告
notion	n.概念，想法，意念，看法，观点
number	n.数，数字，数量，号码，一群v.共计，编号
object	n.物体；客体，对象：目标：宾语 v.（to）反对
oblige	v.强迫，迫使：责成；（使）感激，施恩于
obtain	v.获得，得到
occupy	v.占，占用：占据，占领；使忙碌，使从事
offend	v.犯罪，冒犯，违反，得罪，使...不愉快
office	n.办公室，办事处；职务，公职；部，局，处
offset	n.分支，补偿v.抵消，补偿
opaque	a.不透明（光）的；难理解的，晦涩的
oppose	v.反对，使对立，使对抗，使相对
option	n.选择（权），［商］选择买卖的特权
orange	n.柑，枯，橙
orient	n.东方，亚洲v.使朝东，为··定位，使适应
origin	n.起源，由来；出身，来历
orphan	n.孤儿
outfit	n.用具，机构，全套装配v.配备，（得到）装备
outing	n.外出，旅行，散步
outlet	n.出路，出口：销路，市场；发泄方法：电源插座
output	n.产量，输出（量）
outset	n.开始，开端
oxygen	n.氧，氧气
packet	n.小包裹，小捆：盒：一捆，一扎：邮船，班轮
paddle	n.桨v.用桨划
palace	n.宫，宫殿
parade	n.／v.游行，夸耀n.检阅，阅兵式v.使列队行进
parcel	n.包裹，邮包，部分v.打包，捆扎，分配
pardon	n.原谅，宽恕：请再说一遍v.原谅，饶恕，赦免
parent	n.父母，母亲：（pl.）双亲；父母
partly	ad.部分地，不完全地，在一定程度上
patent	a.专利的，特许的n.专利（权、品）v.批准专利
patrol	n.dv.巡逻，巡查 n.巡逻，巡查；巡逻队
patron	n.赞助人：资助人：老顾客，老主顾
peanut	n.花生
pebble	n.卵石
pencil	n.铅笔vt.用铅笔写
people	n.人们，人：［the-］人民：一国人民，民族
pepper	n.胡椒粉，胡椒；辣椒
period	n.时期，时代；学时；周期，一段时间：句点
perish	v.丧生；凋谢：毁灭，消亡
permit	.许可，允许 n.许可证，执照
person	n.人，喜欢（或适应）..的人：人物：人称
petrol	n.汽油
phrase	n.短语，词语，习语
pickup	n.拾起，获得
picnic	n.野餐v.（去）野餐
pierce	v.刺穿，刺破
pigeon	n.鸽
pillar	n.柱，台柱，栋梁
pillow	n.枕头
pirate	n.／v.海盗，盗版（者）
pistol	n.手枪
piston	n.活塞
plague	n.瘟疫，灾害，麻烦，苦恼vt.折磨，使苦恼
planet	n.行星
please	v.请：使愉快，使满意；喜欢，愿意
pledge	n.誓约；保证 v.发誓；保证
plenty	n.丰富，大量
plight	n.情况，状态，困境，盟誓（婚姻）v.保证，约定
plough	n.（plow）犁，耕地，犁过的地v.犁，费力地前进
plunge	v.（into）（使）投入，（使）插进，陷入；猛冲
plural	a.复数的n.复数
pocket	n.衣袋a.袖珍的，小型的v.把···装入袋内
poetry	n.诗歌，诗集
poison	n.毒物，毒药v.放毒，毒害，污染
police	n.警察，警察机关 a.警察的v.管辖
policy	n.政策，方针
polish	v.磨光，擦亮；使优美，润饰n.擦光剂，上光蜡
polite	a.有礼貌的，客气的：有教养的，文雅的
ponder	v.沉思，考虑
porter	n.守门人，门房，行李搬运工，服务员
poster	n 海报，张贴的大幅广告
potato	n.马铃薯，土豆
powder	n.粉末，药粉；火药，炸药
praise	v.赞扬，歌颂；表扬n.称赞，赞美：赞美的话
prayer	n.祈祷，祷告，祷文
preach	v.宣讲（教义），布道；竭力鼓吹，宣传；说教
prefer	v.（to）更喜欢，宁愿
pretty	ad.相当，很a.漂亮的，俊俏的，标致的
priest	n.教士，神父
prince	n.王子，亲王
prison	n.监狱
profit	n.利润，收益v.（by，from）得利，获益：有利于
prompt	a.敏捷的，迅速的，即刻的v.激起，促进，推动
propel	vt.推进，推动：激励，驱使
proper	a.适合的：合乎体统的：固有的：有礼貌的
public	a.公共的，公用的：公开的，公然的n.公众，民众
punish	v.惩罚，处罚
puppet	n.木偶，傀儡
purify	v.使纯净，提纯
purple	a.紫的 n.紫色
pursue	v.追赶，追踪；继续，从事
puzzle	n.难题，谜，迷惑v.（使）迷惑，（使）为难
quartz	n.石英
quench	v.熄灭，扑灭，压制，抑制，止渴
quiver	v.／n.颤抖，抖动
rabbit	n.兔子
racial	a.种的，种族的
racket	n.球拍
radius	n.半径，半径范围，有效航程，范围，界限
random	a.随机的，随意的n.随机，随意
rarely	ad.很少，难得，非常地
rather	ad.相当，有一点儿：宁愿，宁可
reader	n.读者：读本，读物：（英国的）大学讲师
really	ad.确实，实在，真正地，果然
reason	n原因,理性,理智推理,说服,辩讨论
recall	v.回忆，回想；撤消，收回
recede	v.退回，后退；收回，撤回：跌落，缩减，贬值
recent	a.新近的，近来的
recipe	n.烹饪法，食谱；诀窍，方法
recite	v.背诵，朗诵
reckon	v.计算，总计，估计，猜想，依赖
record	n.记录；最高记录：履历：唱片 v.记录：录音
reduce	v.减少，缩小：简化，还原
refine	v.精炼，精制，提纯；使文雅，使高尚
reform	v.／n.改革，改造，改良
refuge	n.避难处，藏身处
refund	n.归还，偿还额，退款v.退还，偿还，偿付
refuse	v.拒绝，谢绝 n.废物，垃圾
refute	v.反驳，驳斥
regard	v.（as）把···看作为：考虑n.（pl.）敬重，问候
regime	n.政体，制度
region	n.地区，地带，行政区，（科学等）领域
regret	v.／n.遗憾，懊悔，抱歉
reject	v.拒绝，抵制，丢弃，排斥，退掉n.落选者
relate	v.叙述，讲述；使互相关联
relief	n.（痛苦等）减轻，解除：援救，救济
relish	n.美味，味道，调味品，食欲，乐趣v.喜欢，品味
remain	v.剩下，余留；留待，尚须：仍然是，依旧是
remark	n.（about，on）评语，意见v.（on）评论：注意到
remedy	n.药品：治疗措施 v.治疗，医治；纠正，补救
remind	v.（of）提醒，使想起
remote	a.远的，遥远的，疏远的，偏僻的，细微的
remove	v.移动，脱掉，调动，免职
render	v.使得，致使；提出，提供，呈报
repair	n.修理，修补 v.补救，纠正：修理
repeat	v.重复，重说，重做 n.重复
report	n.／v.报告，汇报；传说，传阅
rescue	v.／n.营救，援救
resent	v.对···表示忿恨，怨恨
resign	v.辞去，辞职，使听从（于），使顺从
resist	v.抵抗，反抗；抗，忍得住，抵制
resort	v.凭借，求助，诉诸 n.度假胜地，常去之处，手段
result	n.结果，成绩v.结果，致使，导致，由···而造成
resume	n.个人简历v.再继续，重新开始；再用：恢复
retail	n.零售
retain	v.保持，保留
retire	v.退休，引退；退却，撤退：就寝
retort	n.／v.报复，反击，反驳
return	v.／n.返回，回来；归还，送还；回答
reveal	v.展现，显示，揭示，揭露，告诉，泄露
review	v.回顾，复习n.回顾，复习：评论
revise	v.修订，校订：修正，修改
revive	v.恢复：（使）复苏
revolt	v.／n.反抗，起义
reward	n.（for）报酬，赏金v.（for）酬劳：酬谢
rhythm	n.节奏，韵律
ribbon	n.缎带，丝带，带，带状物
riddle	n.谜，谜语
ritual	a.宗教仪式的，典礼的n.（宗教）仪式，典礼
robust	a.强健的，雄壮的，精力充沛的，坚固的，浓的
rocket	n.火箭
rotary	a.旋转的
rotate	v.（使）旋转
rotten	a.腐烂的，腐朽的
rubber	n.橡皮，橡胶；橡胶制品，胶鞋
sacred	a.神圣的：宗教的：庄严的
saddle	n.鞍，马鞍，鞍状物
safety	n.安全，保险：安全设备，保险装置
sailor	n.水手，海员
salary	n.薪金，薪水
salute	v.／n.敬礼，鸣礼炮；迎接，欢迎
sample	n.样品，实例，标本，抽样检查v.取样，采样
satire	n.讽刺，讽刺文学，讽刺作品
saucer	n.茶托，碟子
savage	a.野蛮的：凶恶的，残暴的n.野人，未开化的人
saving	n.挽救，救助，节约，储蓄；（pl.）储蓄金，存款
scarce	a.缺乏的，不足的：稀少的，罕见的
scheme	n.计划，方案；阴谋；配置v.计划，策划：阴谋
school	n.学校，（大学里的）学院；上学，学业：学派
scrape	v.刮（掉），擦过，勉强通过n.刮，擦痕，刮擦声
scream	v.／n.尖声叫，喊叫着说出。（风）呼啸
screen	n.屏幕，屏风：帘v.掩蔽，包庇：筛选
script	n.剧本（原稿）：手稿，原稿：笔迹，手迹
search	v.／n.（for）搜索，寻找，探查
season	n.季，季节，时节
second	a.第二：次等的，二等的n.秒v.赞成，附和
secret	a.秘密的，机密的n.秘密
sector	n.部门，部分：防御地段，防区：扇形
secure	a.（from，against）安全的，放心的v.得到：防护
seldom	ad.很少，不常
select	v.选择，挑选 a.精选的，选择的
senate	n.参议院，上院
senior	a.年长的：地位较高的n.（大学）四年级学生
serial	n.连载小说，连续剧：连载刊物a.连续的
series	n.一系列，连续：丛书
settle	v.安定，安顿；停息；定居；解决，调停
severe	a.严厉的：剧烈的，严重的，严峻的，艰难的
shabby	a.简陋的，破旧的，卑鄙的，不公平的
shadow	n.阴影，影子，荫：暗处，阴暗
shield	n.防护物，护罩：盾，盾状物v.保护，防护
shiver	v.／n.战栗，发抖
should	aux.v.应该；万一；可能，该：就：竟然会
shower	n.阵雨：沐浴：（一）阵／大批v.下阵雨，倾注
shrewd	a.机灵的，敏锐的：精明的
shrink	v.起皱，收缩：退缩，畏缩
signal	n.信号，暗号v.发信号，用信号通知
silent	a.寂静，沉默的
silver	n.银；银器；银币v.镀银
simple	a.简单的；单纯的，直率的；迟钝的，头脑简单的
simply	ad.简单地：完全，简直：仅仅，只不过：朴素地
single	a.单人的；单一的，单个的；未婚的，独身的
sister	n.姐，妹：护士长：修女，女教士
sketch	n.素描：略图，草图：梗概v.绘略图，速写，写生
sleeve	n.袖子
slight	a.轻微的，微小的：纤细的，瘦弱的
slogan	n.标语，口号
smooth	a.光滑的：顺利的：柔和的v.（over）掩饰
snatch	n.／v.攫取，抢夺
sneeze	vi.打喷嚏，发喷嚏声n.喷嚏
soccer	n.足球
social	a.社会的：交际的
solemn	a.庄严的，隆重的：严肃的
sorrow	n.悲衰，悲痛
source	n.源，源泉：来源，出处
speech	n.演说，讲话：言语，语言
sphere	n.球，球体；范围，领域
spider	n.蜘蛛
spiral	a.螺旋形的n.螺旋，螺线v.螺旋上升；盘旋
spirit	n.精神；志气：（pl.）情绪，心情：（pl.）酒精
splash	v.溅，泼n.溅，飞溅声
sponge	n.海绵
spouse	n.配偶（指夫或妻）
spread	v.／n.伸开，伸展；散布，传播
spring	n.春；跳；泉，源泉；弹簧，发条 v.跳，跳跃
sprout	vi.发芽，抽条vt.使发芽 n.新芽，嫩苗
square	n.正方形：广场a.正方形的v.使成方形
stable	a.稳定的，安定的n.马厩，马棚
staple	n.主要产品；名产；纤维；主要成分，主食
starve	v.（使）饿死，饿得慌，挨饿
static	a.（statical）静态的，静力的
statue	n.塑像，雕像
status	n.地位，身份；情形，状况
steady	a.稳定的，不变的：坚定的v.（使）稳固／稳定
stereo	n.立体声音响：立体声装置n.／a.立体声（的）
sticky	a.粘的，粘性的：棘手的；（道路）泥泞的
stitch	n.一针：（因跑步引起的）肋部剧痛v.缝（合）
storey	n.（story）楼，层
strain	v.拉紧：紧张；扭伤；竭尽全力 n.拉紧：负担
stream	n.小河，溪流：流，一股，一串v.流出，涌
street	n.街，街道：行车道
stress	n.压力：重要性；应力；重音 vt.强调，重读
strict	a.（with）严格的，严厉的：严谨的，精确的
stride	vi.大踏步走；跨越n.一大步（pl.）长足进步
strife	n.争吵；冲突，斗争；竞争
strike	n／vi.罢工vt.打，击：攻击：给···深刻印象
string	n.弦，线，细绳：（一串），（一行）v.缚，捆
stripe	n.长条，条纹：军服上表示军阶的臂章条纹
strive	v.奋斗，努力
stroke	n.击：报时的钟声；一击／划／笔：中风v.抚摸
stroll	n.＆v.漫步：散步；游荡
strong	a.强壮的，强大的；强烈的，浓的
studio	n.画室；播音室；（电影）制片厂
stupid	a.愚蠢的，迟钝的
sturdy	a.坚定的，不屈不挠的；强健的，结实的
submit	v.（to）使服从，屈服：（to）呈送，提交
subtle	a.精巧的，巧妙的：细微的，微妙的
suburb	n.市郊，郊区
subway	n.地铁：地下行人隧道
sudden	a.出乎意料的，突然的
suffer	v.（from）受痛苦，患病：受损失；遭受；忍受
sulfur	n.（sulphur）硫
summer	n.夏天，夏季a.夏季的
summit	n.顶，最高点：颠峰，高峰：最高级会议
summon	v.召唤：传讯，传唤；鼓起（勇气），振作（精神）
Sunday	n.星期日
sunset	n.日落，傍晚：晚霞
superb	a.极好的，杰出的：华丽的：
supper	n.晚餐
supply	v.（with，to）供给，供应，补足n.供应，供应量
survey	v.／n.俯瞰，眺望：全面审视，调查；测量图，勘定
switch	n.开关：转换：鞭子v.转变，转换；抽打
symbol	n.符号，标志；象征
system	n.系统，体系：制度：方法，方式，步聚
tablet	n.药片；碑，匾
tackle	n.滑车：用具，器械v.处理，解决；抱住，抓住
tactic	n.（tactics）策略，战术
tailor	n.裁缝v.缝制，剪裁
talent	n.才能，天资：人才
tangle	n.纠缠：缠结：混乱 v.（使）缠绕：变乱
tanker	n.油船
target	n.目标，对象，靶子
tariff	n.关税，税率；（旅馆，饭店等）价目表，收费表
temper	n.脾气：韧度 vt.调和，使缓和；使回火
temple	n.庙宇，神殿，寺；太阳穴
tenant	n.承租人：房客：佃户 vt.租借，承租
tender	a.嫩的；敏感的：温柔的v.提出，提供：投标
tennis	n.网球
terror	n.恐怖；可怕的人（事）
theirs	pron.［they 的物主代词］他（她、它）们的
theory	n.理论，原理：学说，见解，看法
thesis	n.（pl.theses）论文；论题；论点
thirst	n.渴，口渴：（for）渴望，热望
thirty	num.三十，三十个（人或物）
though	ad.可是，然而，不过conj.尽管，虽然
thread	n.线，细丝；线索，思路：螺纹 v.穿线，穿过
threat	n.恐吓，威胁；坏兆头，危险迹象
thrift	a.节约，节俭
thril	n.一阵激动（恐惧）v.激动：（使）毛骨悚然
thrive	v.兴旺，繁荣
throat	n.咽喉，嗓子
throne	n.御座，宝座；王位，王权
thrust	vt.插入；猛推 n.插，推力vi.刺，戳，冲
ticket	n.票，入场券；票签；（交通违章）罚款传票
timber	n.木材，木料
timely	a.及时的，适时的
tissue	n.织物，薄绢，纸巾：（动，植物的）组织
toilet	n.厕所，盥洗室
tomato	n.西红柿
tongue	n.舌；语言
toward	prep.(towards)朝,向:将近:对于:为了
tragic	a.悲剧的，悲惨的
travel	n.旅行v.旅行：行进，传播
treaty	n.条约，协议，协商
trench	n.＆v.（挖）沟，（挖）战壕
trifle	n.少量：小事，琐事 v.玩弄；嬉要：忽视
triple	n.三倍数 a.三倍的：三部分构成的v.使成三倍
tropic	n.回归线：［the T-s］热带地区
tumble	v.（使）摔倒；打滚，翻腾n.摔跤，跌倒
tumour	n.（tumor）（肿）瘤，肿块
tunnel	n.隧道，山洞
turkey	n.火鸡（肉）
twelve	num.十二 pron.／a.十二（个，只...）
twenty	num.二十pron.／a.二十（个，只...）
typist	n.打字员
uneasy	a.不安的，焦虑的
unfold	vt.打开；显露；展示 vi.呈现；显示；展示
unique	a.唯一的，独一无二的
unless	conj.除非 prep.除··外
unlike	a.不同的，不相似的 prep.不象，和···不同
unload	vi.卸货：退子弹 vt.摆脱...之负担；倾销
update	v.更新，使现代化
uphold	vt.支持，赞成；举起；坚持
uproar	n.骚动，喧嚣，鼎沸
upward	a.向上的，上升的ad.向上
urgent	a.急迫的，紧要的，紧急的
useful	a.有用的，实用的：有益的，有帮助的
utmost	a.最远的：极度的n.极限，极度，最大可能
vacant	a.空的，未占用的；空缺的：神情茫然的
vacuum	n.真空，真空吸尘器
valley	n.（山）谷；流域
vanish	vi.突然不见：消失
vanity	n.虚荣心，浮华
vapour	n.（vapor）汽，（水）蒸气
velvet	n.丝绒，天鹅绒a.丝绒制的，柔软的
verbal	a.用言辞的，用文字的；口头的：动词的
verify	vt.证实，查证；证明
versus	prep.（vs.）··对···（在诉讼，比赛等）；与···相对
vessel	n.容器，器皿；船，舰；管，血管
victim	n.牺牲品，受害者
violet	n.紫罗兰，紫色 a.紫色的
violin	n.小提琴
virgin	n.处女 a.处女的；纯洁的；原始的；未使用的
virtue	n.德行，美德；贞操；优点；功效，效力
vision	n.视力，视觉：远见：洞察力；幻想，幻影；想象力
visual	a.看的，看得见的：视觉的
volume	n.容积，体积：卷，册；音量
voyage	n.航海：航行：旅行
vulgar	a.粗俗的，庸俗的，本土的，通俗的，普通的
waiter	n.侍者，服务员
wallet	n.皮夹，钱包
wander	v.漫步，徘徊；迷路，迷失方向：离题
warmth	n.暖和，温暖；热心，热情
wealth	n.财富，财产；大量
weapon	n.武器，兵器
weekly	a.每星期的，一周的ad.每周一次n.周刊，周报
weight	n.重量：负荷，重担；重要性，分量：砝码，秤砣
whisky	n.威士忌酒
wholly	ad.完全地，全部，一概
wicked	a.坏的；邪恶的；不道德的；恶劣的：淘气的
window	n.窗，窗口
winter	n.冬季，冬天
wisdom	n.智慧，明智；名言，格言
within	prep.在···里面，在···以内ad.在内
wonder	n.惊奇，惊异；奇迹，奇事v.（at）诧异：想知道
wooden	a.木制的；呆笨的
worker	n.工人，工作者，工作人员
worthy	a.（of）值得···的，配得上···的；有价值的
wreath	n.花环，花圈
wrench	v.猛拧：挣脱：使扭伤 n.扳手：痛苦，难受
yearly	a.每年的，一年一度的ad.每年，一年一次地
yellow	a.黄的，黄色的n.黄色
zigzag	n.／a.之字形（的）v.使曲折，曲折盘旋
abandon	vt.离弃，丢弃：遗弃，抛弃；放弃
abdomen	n.腹，下腹（胸部到腿部的部分）
ability	n.能力：本领；才能，才干：专门技能，天资
abolish	vt.废除（法律、习惯等）：取消
absence	n.缺乏，不存在：缺席，不在：缺席的时间
academy	n.（高等）专科院校：学术社团，协会，研究院
acclaim	v.向···欢呼，公认 n.欢呼，喝彩，称赞
account	a.叙述，说明：账目，账户 vi.说明，解释
achieve	vt.实现，完成：达到，得到vi.达到预期目的
acquire	v.获得：学到（知识等）：养成（习惯）
acrobat	n.特技演员，杂技演员
actress	n.女演员
address	n.住址：致词v.向...致词：在信封上写姓名
advance	n.前进，预付vi.前进，进展vt.促进，推进
adverse	a.逆的，相反的；敌对的；不利的；有害的
against	prep.对着，逆：反对：违反：紧靠着；对比
agitate	v.摇动（液体）：使焦虑不安；困扰：鼓动
airline	n.（飞机）航线a.（飞机）航线的
airport	n.机场，航空站，航空港
alcohol	n.酒精，乙醇：含酒精的饮料
already	ad.已，已经，早已
amateur	a.＆n.业余（水平）的（运动员、艺术家等）
amiable	a.和蔼可亲的，友善的，亲切的
amplify	vt.放大，增强：详述，详加解说
analogy	n.类似，相似，类比，类推
analyse	vt.（analyze）分析，分解
ancient	a.古代的，古老的，古式的
anguish	n.（尤指心灵上的）极度痛苦，烦恼
another	a.另一个，又，再pron.另一个，类似的一个
antenna	n.（无线电或电视的）天线
antique	a.古式的，过时的n.有价值的古物，古董
anxiety	n.挂念，焦虑，焦急，忧虑：渴望，热望
anxious	a.焦虑的，担心的：急于（得到的），渴望的
anybody	pron.（否定句）任何人：（肯定句）随便哪个人
apology	n.道歉，认错，辩解，辩护
applaud	vt.鼓掌欢迎；赞同vi.鼓掌欢迎，欢呼
appoint	vt.任命，委派：指定，约定（时间、地点等）
approve	v.（of）赞成，赞许，同意：批准，审议，通过
arrange	v.安排，筹划：整理，使有条理，排列，布置
arrival	n.到达，到来：到达者，到达物
article	n.文章，论文：条款，条文：物件；冠词
ashamed	a.惭愧的，羞耻的，害臊的
assault	v.猛烈地攻击，袭击n.突然而猛烈的攻击
blossom	n.花（簇）：花期：青春vi.开花：展开：繁荣
blunder	v.（因无知等而）犯大错：踉踉跄跄地走 n.大错
bowling	n.保龄球运动
boycott	n.／v.（联合）抵制，拒绝参与
bracket	n.（方）括号
breadth	n.宽度，幅
breathe	v.呼吸，吸入
brittle	a.易碎的：脆弱的：冷淡的：（声音）尖利的
brother	n.兄弟：同胞；教友
burglar	n.（入室行窃的）盗贼
butcher	n.屠夫，卖肉者
cabbage	n.洋白菜，卷心菜
cabinet	n.内阁，内阁会议：（带玻璃门存物品的）橱柜
calcium	n.钙（化学符号 Ca）
calorie	n.卡路里（食物所产生的热量或能量单位）
canteen	n.（工厂、办公室等）食堂或小卖部
capable	a.有本领的，有能力的：（of）可以···的，能···的
capital	n.首都：大写字母；资本 a.主要的，大写字母的
capsule	n.胶囊：太空舱
captain	n.首领，队长；船长；上尉v.做···的首领，指挥
captive	n.俘虏a.被俘虏的，被监禁的
capture	v.／n.捕获，俘虏；夺得，攻占
careful	a.小心的，仔细的：细致的，精心的
carrier	n.搬运人：载体
cartoon	n.漫画，幽默画；动画片
cashier	n.收银员，出纳员
catalog	n.（catalogue）目录（册）v.编目（录）
caution	n.谨慎：注意（事项），警告 vt.劝···小心
ceiling	n.天花板：（规定价格、工资等的）最高限额
central	a.中心的，中央的，中枢的：主要的
